,City,Country,Date,Lat,Lng,Max Temp,Wind Speed,Humidity,Cloudiness,Timezone
0,castro,CL,1572316380.0,-42.48,-73.76,48.2,13.87,93.0,90.0,-10800.0
1,port hedland,AU,1572316380.0,-20.31,118.58,95.0,8.05,39.0,0.0,28800.0
3,sao filipe,CV,1572316381.0,14.9,-24.5,78.37,8.12,66.0,36.0,-3600.0
4,hokitika,NZ,1572316381.0,-42.72,170.96,52.41,24.56,71.0,38.0,46800.0
6,zhangye,CN,1572316381.0,38.94,100.46,49.89,11.16,17.0,0.0,28800.0
7,cap-aux-meules,CA,1572316382.0,47.38,-61.86,41.0,5.82,75.0,90.0,-10800.0
8,klaksvik,FO,1572316382.0,62.23,-6.59,37.4,1.12,69.0,0.0,0.0
9,richards bay,ZA,1572316382.0,-28.77,32.06,68.45,16.91,72.0,100.0,7200.0
10,jamestown,AU,1572316382.0,-33.21,138.6,84.81,8.34,11.0,0.0,37800.0
11,mar del plata,AR,1572316382.0,-46.43,-67.52,52.34,5.17,70.0,100.0,-10800.0
12,saldanha,PT,1572316383.0,41.42,-6.55,54.19,2.73,96.0,93.0,0.0
13,punta arenas,CL,1572316383.0,-53.16,-70.91,33.8,4.7,74.0,40.0,-10800.0
14,nome,US,1572316383.0,30.04,-94.42,71.01,5.77,93.0,1.0,-18000.0
15,vardo,US,1572316383.0,39.62,-77.74,57.2,4.7,67.0,1.0,-14400.0
16,qaanaaq,GL,1572316383.0,77.48,-69.36,10.09,7.43,80.0,100.0,-10800.0
17,hilo,US,1572316141.0,19.71,-155.08,82.4,3.36,61.0,90.0,-36000.0
18,hermanus,ZA,1572316384.0,-34.42,19.24,53.01,1.99,73.0,53.0,7200.0
19,sistranda,NO,1572316384.0,63.73,8.83,43.0,14.99,80.0,75.0,3600.0
20,mataura,NZ,1572316384.0,-46.19,168.86,54.0,15.01,69.0,62.0,46800.0
21,port alfred,ZA,1572316384.0,-33.59,26.89,57.99,8.99,56.0,39.0,7200.0
22,hithadhoo,MV,1572316385.0,-0.6,73.08,81.97,5.77,72.0,2.0,18000.0
23,pozo colorado,PY,1572316385.0,-23.49,-58.8,92.48,12.33,37.0,81.0,-10800.0
24,port-gentil,GA,1572316385.0,-0.72,8.78,77.81,5.08,80.0,100.0,3600.0
25,kapaa,US,1572316385.0,22.08,-159.32,84.2,8.05,65.0,20.0,-36000.0
26,new norfolk,AU,1572316386.0,-42.78,147.06,80.01,18.34,7.0,70.0,39600.0
27,lazaro cardenas,MX,1572316386.0,28.39,-105.62,69.8,2.59,30.0,5.0,-25200.0
28,mayo,CA,1572316386.0,63.59,-135.9,32.0,10.29,95.0,75.0,-25200.0
29,ushuaia,AR,1572316108.0,-54.81,-68.31,37.4,9.17,74.0,40.0,-10800.0
30,russell,US,1572316386.0,38.9,-98.86,26.01,3.36,92.0,40.0,-18000.0
34,albany,US,1572316202.0,42.65,-73.75,55.0,8.46,87.0,20.0,-14400.0
35,baker city,US,1572316387.0,44.77,-117.83,39.2,14.99,38.0,90.0,-25200.0
36,ribeira grande,PT,1572316388.0,38.52,-28.7,62.24,23.87,72.0,45.0,-3600.0
37,te anau,NZ,1572316388.0,-45.41,167.72,45.28,6.85,78.0,39.0,46800.0
38,rikitea,PF,1572316388.0,-23.12,-134.97,71.44,12.5,84.0,29.0,-32400.0
39,pangnirtung,CA,1572316388.0,66.15,-65.72,30.2,12.75,68.0,20.0,-14400.0
40,luderitz,NA,1572316388.0,-26.65,15.16,56.26,25.72,70.0,0.0,7200.0
41,goragorskiy,RU,1572316389.0,43.5,45.08,39.2,4.47,86.0,92.0,10800.0
42,bredasdorp,ZA,1572316389.0,-34.53,20.04,53.01,11.41,76.0,0.0,7200.0
45,chokurdakh,RU,1572316389.0,70.62,147.9,-4.38,1.12,90.0,1.0,39600.0
46,mount gambier,AU,1572316390.0,-37.83,140.78,80.6,20.8,30.0,0.0,37800.0
47,busselton,AU,1572316390.0,-33.64,115.35,72.0,5.66,35.0,100.0,28800.0
48,kumeny,RU,1572316390.0,58.11,49.92,25.12,3.69,77.0,0.0,10800.0
49,manta,RO,1572316390.0,45.1,24.1,49.6,2.44,60.0,100.0,7200.0
50,sarlat-la-caneda,FR,1572316390.0,44.89,1.22,57.0,2.24,93.0,90.0,3600.0
52,nelson bay,AU,1572316391.0,-32.72,152.14,78.8,6.93,39.0,20.0,39600.0
53,isetskoye,RU,1572316391.0,56.49,65.32,30.09,13.0,74.0,79.0,18000.0
54,verkhniy mamon,RU,1572316391.0,50.17,40.4,48.7,3.24,75.0,100.0,10800.0
55,codrington,AU,1572316391.0,-28.95,153.24,81.0,6.93,44.0,90.0,39600.0
56,cape town,ZA,1572316199.0,-33.93,18.42,54.0,3.36,87.0,40.0,7200.0
57,norman wells,CA,1572316392.0,65.28,-126.83,26.6,18.34,68.0,75.0,-21600.0
58,san cristobal,HN,1572316392.0,14.68,-86.92,65.41,3.04,92.0,100.0,-21600.0
59,ust-karsk,RU,1572316392.0,52.71,118.82,29.1,2.8,57.0,31.0,32400.0
60,kyaikto,MM,1572316392.0,17.31,97.01,86.67,2.98,67.0,0.0,23400.0
61,komsomolskiy,RU,1572316393.0,67.55,63.78,4.82,9.98,95.0,21.0,10800.0
63,wharton,GB,1572316393.0,53.2,-2.51,37.99,3.36,93.0,0.0,0.0
64,babu,CN,1572316393.0,23.23,104.89,72.1,2.64,49.0,14.0,28800.0
65,alta floresta,BR,1572316393.0,-9.87,-56.08,70.86,5.5,93.0,44.0,-14400.0
66,xai-xai,MZ,1572316394.0,-25.04,33.64,70.7,14.03,81.0,99.0,7200.0
67,nikolskoye,RU,1572316394.0,59.7,30.79,32.0,4.47,96.0,90.0,10800.0
68,warrnambool,AU,1572316394.0,-38.38,142.48,80.01,7.0,30.0,0.0,39600.0
69,egvekinot,RU,1572316371.0,66.32,-179.17,11.93,5.68,68.0,0.0,43200.0
70,port elizabeth,US,1572316394.0,39.31,-74.98,61.0,5.82,82.0,90.0,-14400.0
71,yellowknife,CA,1572316394.0,62.45,-114.38,12.2,2.24,78.0,90.0,-21600.0
72,soe,EE,1572316395.0,57.91,26.05,35.01,5.82,100.0,90.0,7200.0
73,clyde river,CA,1572316395.0,70.47,-68.59,30.2,13.87,86.0,90.0,-14400.0
74,dwarka,IN,1572316395.0,28.58,77.04,82.0,3.36,68.0,40.0,19800.0
75,aklavik,CA,1572316395.0,68.22,-135.01,28.4,9.17,74.0,90.0,-21600.0
76,bluff,AU,1572316395.0,-23.58,149.07,79.9,15.64,51.0,100.0,36000.0
77,lebu,ET,1572316396.0,8.96,38.73,51.8,3.36,66.0,33.0,10800.0
78,caravelas,BR,1572316396.0,-17.73,-39.27,71.08,6.22,92.0,0.0,-10800.0
79,kampot,KH,1572316396.0,10.62,104.18,84.2,1.12,74.0,40.0,25200.0
80,avarua,CK,1572316396.0,-21.21,-159.78,73.4,6.93,69.0,100.0,-36000.0
81,hasaki,JP,1572316397.0,35.73,140.83,60.8,12.75,93.0,75.0,32400.0
82,batemans bay,AU,1572316397.0,-35.71,150.18,79.0,4.0,25.0,67.0,39600.0
83,constitucion,MX,1572316397.0,23.99,-104.67,64.4,3.36,31.0,5.0,-21600.0
84,cayenne,GF,1572316397.0,4.94,-52.33,75.2,3.22,94.0,72.0,-10800.0
85,talnakh,RU,1572316397.0,69.49,88.39,10.4,4.47,92.0,75.0,25200.0
86,chuy,UY,1572316398.0,-33.69,-53.46,70.75,10.58,96.0,92.0,-10800.0
87,ariquemes,BR,1572316398.0,-9.91,-63.03,73.29,0.63,89.0,44.0,-14400.0
90,vaini,IN,1572316398.0,15.34,74.49,69.8,2.24,100.0,75.0,19800.0
92,butaritari,KI,1572316399.0,3.07,172.79,85.73,9.35,69.0,91.0,43200.0
93,havelock,US,1572316399.0,34.88,-76.9,68.0,10.29,77.0,90.0,-14400.0
94,bijie,CN,1572316399.0,27.3,105.3,60.84,4.83,46.0,54.0,28800.0
95,kamnik,SI,1572316399.0,46.23,14.61,52.0,6.93,93.0,90.0,3600.0
99,burnie,AU,1572316400.0,-41.05,145.91,69.01,4.0,69.0,0.0,39600.0
100,graaff-reinet,ZA,1572316400.0,-32.25,24.53,46.56,2.91,52.0,0.0,7200.0
101,san quintin,PH,1572316400.0,17.54,120.52,87.58,4.61,58.0,22.0,28800.0
102,tuktoyaktuk,CA,1572316401.0,69.44,-133.03,28.4,13.87,79.0,90.0,-21600.0
103,atuona,PF,1572316401.0,-9.8,-139.03,80.2,15.35,74.0,23.0,-34200.0
104,muriwai beach,NZ,1572316401.0,-36.82,174.45,64.0,16.11,67.0,100.0,46800.0
106,bambous virieux,MU,1572316401.0,-20.34,57.76,71.01,6.93,93.0,40.0,14400.0
107,thompson,CA,1572316402.0,55.74,-97.86,17.6,10.29,85.0,90.0,-18000.0
108,isla aguada,MX,1572316402.0,18.78,-91.49,80.6,16.11,74.0,20.0,-21600.0
109,ancud,CL,1572316402.0,-41.87,-73.83,48.2,13.87,93.0,90.0,-10800.0
110,iroquois falls,CA,1572316402.0,48.76,-80.69,39.2,2.24,100.0,90.0,-14400.0
111,moshi,TZ,1572316403.0,-3.36,37.34,69.8,5.68,100.0,75.0,10800.0
112,vao,EE,1572316403.0,59.1,26.19,34.05,8.21,81.0,100.0,7200.0
113,primo tapia,MX,1572316403.0,32.22,-116.92,68.0,4.7,45.0,1.0,-25200.0
114,bilma,NE,1572316403.0,18.69,12.92,77.4,8.19,17.0,68.0,3600.0
115,marshfield,US,1572316403.0,42.09,-70.71,53.01,6.93,100.0,90.0,-14400.0
118,kodiak,US,1572316404.0,39.95,-94.76,33.01,16.11,97.0,90.0,-18000.0
119,airai,TL,1572316404.0,-8.93,125.41,84.96,8.55,40.0,100.0,32400.0
120,brae,GB,1572316404.0,60.4,-1.35,41.0,3.36,86.0,75.0,0.0
121,sheridan,US,1572316404.0,39.65,-105.03,21.99,4.16,85.0,90.0,-21600.0
122,visby,SE,1572316405.0,57.64,18.3,39.2,12.75,64.0,0.0,3600.0
123,pevek,RU,1572316405.0,69.7,170.27,1.4,7.11,93.0,100.0,43200.0
124,saskylakh,RU,1572316405.0,71.97,114.09,-2.76,7.27,97.0,0.0,32400.0
125,isiro,CD,1572316405.0,2.77,27.62,65.25,2.06,99.0,100.0,7200.0
126,pacific grove,US,1572316405.0,36.62,-121.92,61.0,0.54,33.0,1.0,-25200.0
128,salalah,OM,1572316406.0,17.01,54.1,78.8,2.24,36.0,1.0,14400.0
130,axim,GH,1572316406.0,4.87,-2.24,75.22,3.02,92.0,100.0,0.0
131,narsaq,GL,1572316406.0,60.91,-46.05,37.4,3.36,74.0,100.0,-10800.0
133,kanniyakumari,IN,1572316407.0,8.08,77.57,81.75,18.05,74.0,100.0,19800.0
134,muros,ES,1572316407.0,42.77,-9.06,64.0,9.17,100.0,75.0,3600.0
135,kostomuksha,RU,1572316407.0,64.59,30.6,24.53,6.8,93.0,100.0,10800.0
136,mathura,IN,1572316407.0,27.5,77.69,66.2,1.12,100.0,40.0,19800.0
137,walvis bay,NA,1572316408.0,-22.95,14.51,57.0,5.82,76.0,0.0,7200.0
138,hambantota,LK,1572316408.0,6.12,81.12,75.2,5.82,100.0,90.0,19800.0
139,severo-kurilsk,RU,1572316408.0,50.68,156.12,36.9,12.5,91.0,65.0,39600.0
140,coihaique,CL,1572316408.0,-45.58,-72.07,42.8,2.24,100.0,90.0,-10800.0
141,tromso,NO,1572316408.0,69.65,18.96,24.8,24.16,85.0,40.0,3600.0
142,progreso,UY,1572316409.0,-34.68,-56.22,64.4,9.17,100.0,75.0,-10800.0
143,rawson,AR,1572316409.0,-43.3,-65.11,56.44,26.53,64.0,100.0,-10800.0
144,nanortalik,GL,1572316144.0,60.14,-45.24,38.62,7.65,92.0,100.0,-10800.0
145,lom,BG,1572316409.0,43.82,23.24,53.06,3.15,71.0,99.0,7200.0
146,port macquarie,AU,1572316157.0,-31.43,152.91,77.0,18.34,44.0,75.0,39600.0
147,saryg-sep,RU,1572316410.0,51.49,95.55,38.08,2.71,57.0,100.0,25200.0
148,esperance,AU,1572316410.0,-33.86,121.89,66.2,12.75,48.0,45.0,28800.0
149,nemuro,JP,1572316410.0,43.32,145.57,57.2,10.29,62.0,75.0,32400.0
150,kabo,CF,1572316410.0,7.69,18.62,67.53,2.06,93.0,32.0,3600.0
153,salekhard,RU,1572316411.0,66.54,66.62,6.37,9.78,83.0,0.0,18000.0
154,dumas,IN,1572316411.0,21.09,72.71,77.0,3.36,94.0,75.0,19800.0
155,kloulklubed,PW,1572316411.0,7.04,134.26,84.2,9.17,74.0,75.0,32400.0
156,tiebissou,CI,1572316411.0,7.16,-5.23,71.6,2.93,100.0,75.0,0.0
157,mahebourg,MU,1572316412.0,-20.41,57.7,71.01,6.93,93.0,40.0,14400.0
158,fukue,JP,1572316412.0,35.03,136.69,60.8,4.7,87.0,75.0,32400.0
159,bethel,US,1572316412.0,60.79,-161.76,46.4,8.05,93.0,90.0,-28800.0
160,dongkan,CN,1572316412.0,34.0,119.83,66.09,6.11,23.0,0.0,28800.0
161,puerto ayora,EC,1572316412.0,-0.74,-90.35,69.01,5.01,90.0,4.0,-21600.0
162,dudinka,RU,1572316413.0,69.41,86.18,10.4,4.47,92.0,75.0,25200.0
163,ferrol,ES,1572316413.0,43.48,-8.23,64.99,8.05,82.0,68.0,3600.0
